willid_full,year,treat,site_id,exp,willid,fall_height,species_id,fence,dam,browse,n.plants,n.years,min.year,max.year,site_full
eb1-cc-605,2015,cc,eb1,1,605,138,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2015,cc,eb1,1,608,138,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2015,cc,eb1,1,611,131,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2015,cc,eb1,1,614,169,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2015,cc,eb1,1,617,137,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2015,cc,eb1,1,620,164,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2015,cc,eb1,1,626,75,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2015,cc,eb1,1,629,147,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2015,cc,eb1,1,632,166,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2016,cc,eb1,1,493,95,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2016,cc,eb1,1,499,126,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2016,cc,eb1,1,602,113,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2016,cc,eb1,1,605,140,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2016,cc,eb1,1,608,94,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2016,cc,eb1,1,611,142,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2016,cc,eb1,1,614,126,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2016,cc,eb1,1,617,122,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2016,cc,eb1,1,620,169,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2016,cc,eb1,1,626,69,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2016,cc,eb1,1,629,133,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2016,cc,eb1,1,632,150,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2017,cc,eb1,1,493,104,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2017,cc,eb1,1,499,140,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2017,cc,eb1,1,602,134,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2017,cc,eb1,1,605,143,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2017,cc,eb1,1,608,88,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2017,cc,eb1,1,611,138,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2017,cc,eb1,1,614,174,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2017,cc,eb1,1,617,123,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2017,cc,eb1,1,620,177,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-629,2017,cc,eb1,1,629,132,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-493,2018,cc,eb1,1,493,122,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2018,cc,eb1,1,499,136,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2018,cc,eb1,1,602,119,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2018,cc,eb1,1,605,138,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2018,cc,eb1,1,608,NA,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2018,cc,eb1,1,611,139,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2018,cc,eb1,1,614,150,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2018,cc,eb1,1,617,130,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2018,cc,eb1,1,620,183,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2018,cc,eb1,1,626,91,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2018,cc,eb1,1,629,147,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-493,2019,cc,eb1,1,493,121,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2019,cc,eb1,1,499,143,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2019,cc,eb1,1,602,146,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2019,cc,eb1,1,605,140,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2019,cc,eb1,1,608,NA,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2019,cc,eb1,1,611,147,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2019,cc,eb1,1,614,165,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2019,cc,eb1,1,617,119,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2019,cc,eb1,1,620,186,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2019,cc,eb1,1,626,89,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2019,cc,eb1,1,629,164,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-493,2020,cc,eb1,1,493,108,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2020,cc,eb1,1,499,144,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2020,cc,eb1,1,602,124,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2020,cc,eb1,1,605,147,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2020,cc,eb1,1,608,NA,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2020,cc,eb1,1,611,142,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2020,cc,eb1,1,614,155,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2020,cc,eb1,1,617,118,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2020,cc,eb1,1,620,166,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2020,cc,eb1,1,626,69,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2020,cc,eb1,1,629,147,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb2-cc-771,2002,cc,eb2,1,771,54,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-774,2002,cc,eb2,1,774,57,beb,0,0,1,20,19,2002,2020,eb2-cc
